Конфігурація,mAP50,mAP50-95,Inference (ms),FPS
v1_Standard,0.7708,0.536,123.91,8.07
v2_Fast_320,0.7623,0.5359,45.54,21.96
v3_SGD,0.4227,0.2284,123.81,8.08
v4_Small,0.7996,0.5651,282.04,3.55
v5_Adam_Aggressive,0.4321,0.231,121.67,8.22
v6_Adam_Stable,0.0024,0.0007,122.35,8.17
