Конфігурація,mAP50,mAP50-95,Inference (ms),FPS
v1_best,0.7708,0.536,124.52,8.03
v2_best,0.7623,0.5359,40.24,24.85
v3_best,0.7965,0.5868,93.12,10.74
v4_best,0.8187,0.6243,184.2,5.43
v5_best,0.7623,0.5359,40.88,24.46
v6_best,0.7623,0.5359,39.98,25.01
v7_best,0.7324,0.5287,40.12,24.93
v8_best,0.6331,0.424,40.35,24.78
v9_best,0.7411,0.5303,40.7,24.57
v10_best,0.5267,0.3213,37.03,27.01
